,model,primaryCategory.categoryId,Unnamed: 0,JP_shortTitle,itemId,currentPrice,TotalCounts
96,NIKON AF NIKKOR,3323,41.0,,153622224496.0,175.0,8390.0
97,NIKON AF Nikkor 28mm f/2.8 D,3323,84.0,,163796937274.0,98.0,20.0
98,NIKON AF-S NIKKOR 24-70mm F/2.8 G,3323,39.0,,323893230203.0,919.99,192.0
99,NIKON AI NIKKOR 135mm F/2.8,3323,44.0,,323905374908.0,149.99,216.0
100,NIKON AI-S 100-300mm f5.6,3323,5.0,,133111825996.0,34.9,18.0
101,NIKON AIS 85mm F/1.4,3323,65.0,,323912828668.0,579.99,58.0
102,NIKON Ai NIKKOR 20mm f/4,3323,39.0,,283608051687.0,199.99,22.0
103,NIKON Ai Nikkor 135mm F2.8,3323,4.0,,264411370458.0,144.36,216.0
104,NIKON Ai Nikkor 50mm f/1.8,3323,87.0,,383083410969.0,90.99,298.0
105,NIKON F Eye Level,15230,42.0,,323745100535.0,145.0,251.0
106,NIKON Micro NIKKOR 105mm F/2.8 Ai-S,3323,3.0,,283480992866.0,210.0,48.0
107,NIKON NIKKOR AF Macro 35-105mm f/3.5-4.5,3323,75.0,,133166758956.0,45.0,16.0
108,NIKON NIKKOR AI 85mm F/2,3323,50.0,,323907461230.0,139.99,70.0
109,NIKON PC Nikkor 28mm f/3.5 Shift Lens,3323,63.0,,273991646021.0,449.9,12.0
110,NIKON S2,15230,50.0,,143348529849.0,299.99,151.0
111,NIkon AI-S,3323,53.0,,113731986047.0,153.0,2614.0
112,NIkon Ai-s Nikkor 105mm f/2.5,3323,92.0,,143358854141.0,349.9,68.0
113,New Nikkor 35mm F/2.8,3323,96.0,,202768304757.0,70.0,8.0
114,Nikkor,3323,30.833333333333332,,243382096015.0,93.32833333333333,15773.333333333334
115,Nikkor 50mm f1.8 AiS Pancake,3323,27.0,,392425493063.0,149.9,195.0
116,Nikkor Ai,3323,80.0,,392409550627.0,79.99,4312.0
117,Nikkor Ai-S 35-105mm f/3.5-4.5,3323,83.0,,401814533322.0,39.99,66.0
118,Nikkor H 5cm F2 Leica Screw Mount,3323,80.0,,303285561748.0,254.0,9.0
119,Nikkor N.C Auto 28mm f/2,3323,54.0,,143308061083.0,239.99,3.0
120,Nikkor Non ai 28mm f2.8,3323,22.0,,143181873955.0,139.99,13.0
121,Nikkor Q Auto 135mm F/3.5,3323,60.0,,202768298771.0,59.99,26.0
122,Nikkor-H 5cm F2 Black belt(Black aperture),3323,83.0,,223661312062.0,320.0,4.0
123,Nikkor-H.C 5cm F2 Black belt(Black aperture),3323,82.0,,223661317657.0,375.0,2.0
124,Nikkor-P,3323,53.5,,268341353295.0,86.995,304.0
125,Nikkor-Q,3323,3.0,,303281099537.0,58.0,192.0
126,Nikkor-Q 300mm F/9,3323,95.0,,123882725573.0,269.9,5.0
127,Nikomat,69573,33.0,,202676016014.0,8.0,188.0
128,Nikomat EL,15230,14.0,,174026383691.0,55.0,36.0
129,Nikomat FT2,15230,24.0,,133166589679.0,14.4,29.0
130,Nikon,64343,66.0,,283570254536.0,14.99,48908.0
131,Nikon  Ai-s Zoom-Nikkor  35-70mm  F/3.5,3323,44.0,,254264882910.0,119.0,31.0
