,JP_shortTitle,shortTitle,itemId,title,viewItemURL,currentPrice,currency,country,primaryCategory.categoryId,primaryCategory.categoryName,listingType,condition,model,TotalCounts,Target
40,,Excellent Nikon Micro NIKKOR 55mmF35 Ai Lens WFilter Japan 60,173850221891,"""Excellent++!!"" Nikon Micro NIKKOR 55mmF/3.5 Ai Lens W/Filter from Japan #60",https://www.ebay.com/itm/Excellent-Nikon-Micro-NIKKOR-55mmF-3-5-Ai-Lens-W-Filter-Japan-60-/173850221891,75.0,USD,JP,3323,Lenses,StoreInventory,Used,Ai Lens,5070.0,21
62,,Nikon Ai NIKKOR 28 mm f28 Lens MF 128 Japan,233331107414,[Excellent+++++!] Nikon Ai NIKKOR  28mm f/2.8 Lens MF 1:2.8 Made in Japan,https://www.ebay.com/itm/Excellent-Nikon-Ai-NIKKOR-28mm-f-2-8-Lens-MF-1-2-8-Made-Japan-/233331107414,115.7,USD,JP,3323,Lenses,StoreInventory,Used,Nikon Ai,5014.0,21
27,,Excellent Nikon NIKKOR AF 2880 mm f3356 G JAPAN,401881490587,【Excellent+++++】 Nikon NIKKOR AF 28-80mm f/3.3-5.6 G From JAPAN,https://www.ebay.com/itm/Excellent-Nikon-NIKKOR-AF-28-80mm-f-3-3-5-6-G-JAPAN-/401881490587,35.83,USD,JP,3323,Lenses,StoreInventory,Used,G AF,4718.0,21
37,,Nikon AFS 50 mm f18 G Lens Japan,193108703703,Excellent+++ Nikon AF-S NIKKOR 50mm f/1.8 G Lens from Japan,https://www.ebay.com/itm/Excellent-Nikon-AF-S-NIKKOR-50mm-f-1-8-G-Lens-Japan-/193108703703,120.0,USD,JP,3323,Lenses,StoreInventory,Used,AF-S NIKKOR,4253.0,21
7,,Nikon AFS NIKKOR 2870 mm f28 D ED Lens w Box Japan Exc 9134A,153643557669,Nikon AF-S NIKKOR 28-70mm f2.8 D ED Lens w/ Box from Japan [Exc++] #9134A,https://www.ebay.com/itm/Nikon-AF-S-NIKKOR-28-70mm-f2-8-D-ED-Lens-w-Box-Japan-Exc-9134A-/153643557669,499.0,USD,JP,3323,Lenses,FixedPrice,Used,Nikon AF-S NIKKOR,4226.0,21
92,,Near MintNikon NIKKOR Ai 135 mm F35 MF Lens Japan,223672156703,【Near Mint】Nikon NIKKOR Ai 135mm F3.5 MF Lens from Japan,https://www.ebay.com/itm/Near-Mint-Nikon-NIKKOR-Ai-135mm-F3-5-MF-Lens-Japan-/223672156703,110.0,USD,JP,3323,Lenses,StoreInventory,Used,Nikon Nikkor Ai,4203.0,21
9,,shipping Nikon Ai Nikkor 85 mm F2 MF Lens Japan 250066,312772399321,[Excellent+] [free shipping] Nikon Ai Nikkor 85mm F2 MF Lens from Japan 250066,https://www.ebay.com/itm/Excellent-free-shipping-Nikon-Ai-Nikkor-85mm-F2-MF-Lens-Japan-250066-/312772399321,149.99,USD,JP,3323,Lenses,StoreInventory,Used,Nikon nikkor Ai,4203.0,21
42,,NIKON NIKKOR Ai 50 mm F14 MF Lens Japan Exc 9163A,153647487411,NIKON NIKKOR Ai 50mm F1.4 MF Lens from Japan [Exc++] #9163A,https://www.ebay.com/itm/NIKON-NIKKOR-Ai-50mm-F1-4-MF-Lens-Japan-Exc-9163A-/153647487411,95.0,USD,JP,3323,Lenses,FixedPrice,Used,NIKON NIKKOR Ai,4203.0,21
52,,MINTNikon Ai Nikkor 35 mm F28 MF Manual Focus Prime Lens JAPAN,183938158212,…【MINT】Nikon Ai Nikkor 35mm F/2.8 MF Manual Focus Wide Prime Lens From JAPAN,https://www.ebay.com/itm/MINT-Nikon-Ai-Nikkor-35mm-F-2-8-MF-Manual-Focus-Wide-Prime-Lens-JAPAN-/183938158212,89.99,USD,JP,3323,Lenses,FixedPrice,Used,Nikon Nikkor Ai,4203.0,21
60,,EXC Nikon Ai Nikkor 28 mm MF Wide Angle Lens w Cap Japan 1046,401885733042,"""EXC+++"" Nikon Ai Nikkor 28mm f/3.5 MF Wide Angle Lens w/ Cap From Japan #1046",https://www.ebay.com/itm/EXC-Nikon-Ai-Nikkor-28mm-f-3-5-MF-Wide-Angle-Lens-w-Cap-Japan-1046-/401885733042,57.99,USD,JP,3323,Lenses,StoreInventory,Used,Nikon Nikkor Ai,4203.0,21
99,,Excellent Nikon Zoom NIKKOR 80200 mm F45 Ai Lens Japan BV,174022795373,"""Excellent"" Nikon Zoom NIKKOR 80-200mm F/4.5 Ai Lens from Japan #BV",https://www.ebay.com/itm/Excellent-Nikon-Zoom-NIKKOR-80-200mm-F-4-5-Ai-Lens-Japan-BV-/174022795373,59.0,USD,JP,3323,Lenses,StoreInventory,Used,Ai Nikkor,4189.0,21
