,JP_shortTitle,shortTitle,itemId,title,viewItemURL,currentPrice,currency,country,primaryCategory.categoryId,primaryCategory.categoryName,listingType,condition,model,TotalCounts,Target
29,,Near MintNikon NIKKOR Ai 135 mm F35 MF Lens Japan,223672156703,【Near Mint】Nikon NIKKOR Ai 135mm F3.5 MF Lens from Japan,https://www.ebay.com/itm/Near-Mint-Nikon-NIKKOR-Ai-135mm-F3-5-MF-Lens-Japan-/223672156703,110.0,USD,JP,3323,Lenses,StoreInventory,Used,Nikon Nikkor Ai,4195.0,3
99,,NIKON NIKKOR Ai 50 mm F14 MF Lens Japan Exc 9163A,153647487411,NIKON NIKKOR Ai 50mm F1.4 MF Lens from Japan [Exc++] #9163A,https://www.ebay.com/itm/NIKON-NIKKOR-Ai-50mm-F1-4-MF-Lens-Japan-Exc-9163A-/153647487411,95.0,USD,JP,3323,Lenses,FixedPrice,Used,NIKON NIKKOR Ai,4195.0,3
49,,NEAR MINT3 Free Ship Nikon Ai NIKKOR 50 mm MF Lens Japan 076,352749544318,[NEAR MINT+3  Free Ship]  Nikon Ai NIKKOR 50mm f/1.4 MF Lens from Japan #076,https://www.ebay.com/itm/NEAR-MINT-3-Free-Ship-Nikon-Ai-NIKKOR-50mm-f-1-4-MF-Lens-Japan-076-/352749544318,139.99,USD,JP,3323,Lenses,StoreInventory,Used,Nikon NIKKOR Ai,4195.0,3
92,,Nikon Nikkor AI 300 mm F45 MF Lens form Japan Exc 82111A,153618803148,Nikon Nikkor AI 300mm F4.5 MF Lens form Japan [Exc++] #82111A,https://www.ebay.com/itm/Nikon-Nikkor-AI-300mm-F4-5-MF-Lens-form-Japan-Exc-82111A-/153618803148,99.0,USD,JP,3323,Lenses,FixedPrice,Used,Nikon Nikkor AI,4195.0,3
54,,shipping Nikon Ai Nikkor 85 mm F2 MF Lens Japan 250066,312772399321,[Excellent+] [free shipping] Nikon Ai Nikkor 85mm F2 MF Lens from Japan 250066,https://www.ebay.com/itm/Excellent-free-shipping-Nikon-Ai-Nikkor-85mm-F2-MF-Lens-Japan-250066-/312772399321,149.99,USD,JP,3323,Lenses,StoreInventory,Used,Nikon nikkor Ai,4195.0,3
17,,EXC Nikon Ai Nikkor 28 mm MF Wide Angle Lens w Cap Japan 1046,401885733042,"""EXC+++"" Nikon Ai Nikkor 28mm f/3.5 MF Wide Angle Lens w/ Cap From Japan #1046",https://www.ebay.com/itm/EXC-Nikon-Ai-Nikkor-28mm-f-3-5-MF-Wide-Angle-Lens-w-Cap-Japan-1046-/401885733042,57.99,USD,JP,3323,Lenses,StoreInventory,Used,Nikon Nikkor Ai,4195.0,3
57,,MINTNikon Ai Nikkor 35 mm F28 MF Manual Focus Prime Lens JAPAN,183938158212,…【MINT】Nikon Ai Nikkor 35mm F/2.8 MF Manual Focus Wide Prime Lens From JAPAN,https://www.ebay.com/itm/MINT-Nikon-Ai-Nikkor-35mm-F-2-8-MF-Manual-Focus-Wide-Prime-Lens-JAPAN-/183938158212,89.99,USD,JP,3323,Lenses,FixedPrice,Used,Nikon Nikkor Ai,4195.0,3
46,,MINTNikon Nikkor Ai 50 mm MF Lens 35 mm SLR JAPAN 978,113851271003,【MINT】Nikon Nikkor Ai 50mm f/1.4 MF Lens for 35mm SLR from JAPAN #978,https://www.ebay.com/itm/MINT-Nikon-Nikkor-Ai-50mm-f-1-4-MF-Lens-35mm-SLR-JAPAN-978-/113851271003,132.99,USD,JP,3323,Lenses,StoreInventory,Used,Nikon Nikkor Ai,4195.0,3
0,,Nikon Ai Zoom Nikkor 2845 mm f45 MF lens wGenuine cap Excellent Japan,264268413670,Nikon Ai Zoom Nikkor 28-45mm f/4.5 MF lens w/Genuine cap Excellent+ from Japan,https://www.ebay.com/itm/Nikon-Ai-Zoom-Nikkor-28-45mm-f-4-5-MF-lens-w-Genuine-cap-Excellent-Japan-/264268413670,94.99,USD,JP,3323,Lenses,StoreInventory,Used,Ai Nikkor,4185.0,3
47,,Nikon Ai Nikkor 20 mm f35 Super Wide Angle MF lens Excellent Japan,254374599032,Nikon Ai Nikkor 20mm f/3.5 Super Wide Angle MF lens Excellent+ from Japan,https://www.ebay.com/itm/Nikon-Ai-Nikkor-20mm-f-3-5-Super-Wide-Angle-MF-lens-Excellent-Japan-/254374599032,198.99,USD,JP,3323,Lenses,StoreInventory,Used,Ai Nikkor,4183.0,3
90,,Nikon Ai Nikkor 135 mm MF Telephoto Prime lens Excellent Japan,254325036600,Nikon Ai Nikkor 135mm f/3.5 MF Telephoto Prime lens Excellent++ from Japan,https://www.ebay.com/itm/Nikon-Ai-Nikkor-135mm-f-3-5-MF-Telephoto-Prime-lens-Excellent-Japan-/254325036600,94.99,USD,JP,3323,Lenses,StoreInventory,Used,Ai Nikkor,4183.0,3
32,,EXCELLENT Nikon Ai Nikkor 50 mm Ai Standard MF Prime Lens JAPAN,183938273707,【EXCELLENT+++++】 Nikon Ai Nikkor 50mm f/1.4 Ai Standard MF Prime Lens from JAPAN,https://www.ebay.com/itm/EXCELLENT-Nikon-Ai-Nikkor-50mm-f-1-4-Ai-Standard-MF-Prime-Lens-JAPAN-/183938273707,73.99,USD,JP,3323,Lenses,FixedPrice,Used,Nikkor Ai,4183.0,3
81,,Exc5 Nikon Nikkor Ai 105 mm F 25 Lens MF F mount JAPAN 190609434967,173893022966,"""Exc+5"" Nikon Nikkor Ai 105mm F/ 2.5 Lens MF F mount JAPAN #190609-434967",https://www.ebay.com/itm/Exc-5-Nikon-Nikkor-Ai-105mm-F-2-5-Lens-MF-F-mount-JAPAN-190609-434967-/173893022966,165.99,USD,JP,3323,Lenses,StoreInventory,Used,NIKKOR Ai,4183.0,3
93,,MINT Nikon AI Nikkof 85 mm F2 MF length lens 004 Japan,303107074231,"Near MINT  Nikon AI Nikkof 85mm F/2 MF fixed focal length lens ""004  From Japan",https://www.ebay.com/itm/Near-MINT-Nikon-AI-Nikkof-85mm-F-2-MF-fixed-focal-length-lens-004-Japan-/303107074231,190.0,USD,JP,3323,Lenses,StoreInventory,Used,Nikon Ai NIKKOR,4168.0,3
79,,App N Mint EXC Nikon Ai 50 mm MF Standard Lens Japan 801,401863578879,"""App N Mint EXC+"" Nikon Ai 50mm f/1.4 MF Standard Lens From Japan #801",https://www.ebay.com/itm/App-N-Mint-EXC-Nikon-Ai-50mm-f-1-4-MF-Standard-Lens-Japan-801-/401863578879,79.99,USD,JP,3323,Lenses,StoreInventory,Used,Nikon AI Nikkor,4168.0,3
65,,EXC Nikon Ai Nikkor 3570 mm MF AI Zoom Lens wCap Japan 644,401773609246,"""""EXC+"""" Nikon Ai Nikkor 35-70mm f/3.5 MF AI Zoom Lens w/Cap From Japan #644",https://www.ebay.com/itm/EXC-Nikon-Ai-Nikkor-35-70mm-f-3-5-MF-AI-Zoom-Lens-w-Cap-Japan-644-/401773609246,44.99,USD,JP,3323,Lenses,StoreInventory,Used,Nikon Ai Nikkor,4168.0,3
20,,EXC Nikon Ai NIKKOR 135 mm f28 AI Nikkor MF Lens Japan 413,401907274345,"""""EXC++++"""" Nikon Ai NIKKOR 135mm f/2.8 AI Nikkor MF Lens From Japan #413",https://www.ebay.com/itm/EXC-Nikon-Ai-NIKKOR-135mm-f-2-8-AI-Nikkor-MF-Lens-Japan-413-/401907274345,139.99,USD,JP,3323,Lenses,StoreInventory,Used,Nikon Ai NIKKOR,4168.0,3
88,,ASIS Nikon Ais Nikkor 135 mm F28 MF Telephoto Lens,273901026992,** AS-IS ** Nikon Ai-s Nikkor 135mm F2.8 MF Telephoto Lens #EL4307,https://www.ebay.com/itm/AS-IS-Nikon-Ai-s-Nikkor-135mm-F2-8-MF-Telephoto-Lens-EL4307-/273901026992,89.99,USD,JP,3323,Lenses,StoreInventory,Used,NIKON Ai Nikkor,4168.0,3
16,,Nikon Ai Nikkor 105 mm F25 MF Portrait Lens JAPAN Exc 466176A,254302852711,Nikon Ai Nikkor 105mm F/2.5 MF Portrait Lens from JAPAN [Exc+++++] #466176A,https://www.ebay.com/itm/Nikon-Ai-Nikkor-105mm-F-2-5-MF-Portrait-Lens-JAPAN-Exc-466176A-/254302852711,124.9,USD,JP,3323,Lenses,FixedPrice,Used,Nikon Ai Nikkor,4168.0,3
26,,Nikon Nikkor Ai 105 mm f25 MF Lens Portrait Telephoto Japan,383047048788,Excellent+++++ Nikon Nikkor Ai 105mm f/2.5 MF Lens Portrait Telephoto from Japan,https://www.ebay.com/itm/Excellent-Nikon-Nikkor-Ai-105mm-f-2-5-MF-Lens-Portrait-Telephoto-Japan-/383047048788,145.0,USD,JP,3323,Lenses,StoreInventory,Used,Nikon Ai Nikkor,4168.0,3
