,JP_shortTitle,shortTitle,itemId,title,viewItemURL,currentPrice,currency,country,primaryCategory.categoryId,primaryCategory.categoryName,listingType,condition,model,TotalCounts
73,,nikon af nikkor,362746098678,[Mint] Nikon AF NIKKOR 50mm f/1.4 D Standard Prime Lens from Japan SN:401xxxx,https://www.ebay.com/itm/Mint-Nikon-AF-NIKKOR-50mm-f-1-4-D-Standard-Prime-Lens-Japan-SN-401xxxx-/362746098678,149.99,USD,JP,3323,Lenses,StoreInventory,Used,,7873
1,,nikon af nikkor,133122430706,【TOP MINT IN BOX】 Nikon AF NIKKOR 35mm f/2 D Auto Focus Lens from Japan 055,https://www.ebay.com/itm/TOP-MINT-BOX-Nikon-AF-NIKKOR-35mm-f-2-D-Auto-Focus-Lens-Japan-055-/133122430706,227.9,USD,JP,3323,Lenses,StoreInventory,Used,Nikon AF NIKKOR,7873
80,,nikon af nikkor,174010182398,"""Exc+3"" Nikon AF Nikkor 28-200mm f/ 3.5-5.6 D AF Zoom JAPAN #191023",https://www.ebay.com/itm/Exc-3-Nikon-AF-Nikkor-28-200mm-f-3-5-5-6-D-AF-Zoom-JAPAN-191023-/174010182398,89.99,USD,JP,3323,Lenses,StoreInventory,Used,,7873
51,,nikon af nikkor,223593522874,【EXC+++++】 Nikon AF NIKKOR 35-70mm f/2.8 D Lens from Japan,https://www.ebay.com/itm/EXC-Nikon-AF-NIKKOR-35-70mm-f-2-8-D-Lens-Japan-/223593522874,203.12,USD,JP,3323,Lenses,FixedPrice,Used,,7873
95,,nikon af nikkor,133165464255,[Near MINT] Nikon AF Nikkor 70-210mm f/4-5.6D Zoom Lens from JAPAN #8,https://www.ebay.com/itm/Near-MINT-Nikon-AF-Nikkor-70-210mm-f-4-5-6D-Zoom-Lens-JAPAN-8-/133165464255,54.99,USD,JP,3323,Lenses,FixedPrice,Used,Nikon AF Nikkor,7873
46,,nikon af nikkor,323910557022,Nikon AF NIKKOR 35-105mm F3.5-4.5 SN3026920,https://www.ebay.com/itm/Nikon-AF-NIKKOR-35-105mm-F3-5-4-5-SN3026920-/323910557022,35.8,USD,JP,3323,Lenses,StoreInventory,Used,,7873
57,,nikon af nikkor,133158715264,Nikon AF Nikkor 24mm F/2.8 Wide Angle Prime Lens SN239931 from Japan,https://www.ebay.com/itm/Nikon-AF-Nikkor-24mm-F-2-8-Wide-Angle-Prime-Lens-SN239931-Japan-/133158715264,124.8,USD,JP,3323,Lenses,StoreInventory,Used,,7873
54,,nikon af nikkor,293222347131,Excellent-!! Nikon AF NIKKOR 20mm f/2.8 from Japan,https://www.ebay.com/itm/Excellent-Nikon-AF-NIKKOR-20mm-f-2-8-Japan-/293222347131,169.0,USD,JP,3323,Lenses,StoreInventory,Used,,7873
56,,nikon af nikkor,153622224496,NIKON AF NIKKOR 80-200mm F2.8 ED Lens from Japan [Exc++] #8258A,https://www.ebay.com/itm/NIKON-AF-NIKKOR-80-200mm-F2-8-ED-Lens-Japan-Exc-8258A-/153622224496,175.0,USD,JP,3323,Lenses,FixedPrice,Used,NIKON AF NIKKOR,7873
89,,nikon af nikkor,254257657612,"729 NIKON AF NIKKOR 180mm f2.8 N ED IF ***EXC+++*** VERY SHARP, CLEAN!",https://www.ebay.com/itm/729-NIKON-AF-NIKKOR-180mm-f2-8-N-ED-IF-EXC-VERY-SHARP-CLEAN-/254257657612,328.0,USD,JP,3323,Lenses,StoreInventory,Used,,7873
14,,nikon af nikkor,153608999216,【MINT+】 Nikon AF Nikkor 28-105mm f/3.5-4.5 D Standard Zoom Lens from Japan 1741,https://www.ebay.com/itm/MINT-Nikon-AF-Nikkor-28-105mm-f-3-5-4-5-D-Standard-Zoom-Lens-Japan-1741-/153608999216,134.99,USD,JP,3323,Lenses,StoreInventory,Used,,7873
79,,nikon af nikkor,123700375744,Exc++++ Nikon AF NIKKOR 35-135mm F3.5-4.5 Lens w/Front＆Rear Cap From JAPAN # 170,https://www.ebay.com/itm/Exc-Nikon-AF-NIKKOR-35-135mm-F3-5-4-5-Lens-w-Front-Rear-Cap-JAPAN-170-/123700375744,45.99,USD,JP,3323,Lenses,StoreInventory,Used,Nikon AF Nikkor,7873
94,,nikon afs nikkor,143372588844,Nikon AF-S Nikkor 24-120mm F/3.5-5.6 G ED VR Lens #23556 A6,https://www.ebay.com/itm/Nikon-AF-S-Nikkor-24-120mm-F-3-5-5-6-G-ED-VR-Lens-23556-A6-/143372588844,210.0,USD,JP,3323,Lenses,FixedPrice,Used,,7873
20,,nikon af nikkor,383131997304,[very good] Nikon AF NIKKOR 80-200mm F/2.8 ED Lens w/cap&hood from japan 488475,https://www.ebay.com/itm/very-good-Nikon-AF-NIKKOR-80-200mm-F-2-8-ED-Lens-w-cap-hood-japan-488475-/383131997304,224.0,USD,JP,3323,Lenses,StoreInventory,Used,,7873
73,,nikon af nikkor,392425955385,[Top Mint in BOX] Nikon AF Nikkor 50mm f/1.4 D From Japan,https://www.ebay.com/itm/Top-Mint-BOX-Nikon-AF-Nikkor-50mm-f-1-4-D-Japan-/392425955385,198.98,USD,JP,3323,Lenses,FixedPrice,Used,,7873
59,,nikon af nikkor,323908341087,Nikon AF NIKKOR 28-85mm F3.5-4.5  SN3104811,https://www.ebay.com/itm/Nikon-AF-NIKKOR-28-85mm-F3-5-4-5-SN3104811-/323908341087,23.8,USD,JP,3323,Lenses,StoreInventory,Used,,7873
