,model
428,Nikon NIKKOR-S Auto 55mm f/1.2
429,Ai 135mm f/2.8
430,Nikon Nikkor Ai-s 28mm F/2.8
431,Nikon AF Micro Nikkor 60mm f/2.8
432,Nikon AF Micro Nikkor 105mm f/2.8 D
433,Nikon AI 300mm f4.5
434,Ai Micro Nikkor
435,AF NIKKOR 28-200mm f/3.5-5.6 D
436,AF Micro Nikkor 105mm f2.8 D
437,Ai Nikkor 50mm F1.8S
438,Nikon Nikkor AF 28-70mm f/3.5-4.5 D
439,Nikkor-Q Auto 200mm F/4
440,Nikon Nikkor Ai-s 18mm f3.5
441,Nikon Nikkor W 300mm F/5.6
442,Nikon NIKKOR W 150mm f5.6
443,Nikon Micro-Nikkor-P Auto 55mm f/3.5
444,Nikon NIKKOR-Q AUTO Non AI 135mm F/2.8
445,Nikon AI-S
446,AF NIKKOR 70-210mm f/4-5.6 D Zoom
447,18-140mm f/3.5-5.6G ED VR
448,S2 Black
449,Nikon AF Nikkor 80-200mm f/ 2.8 D ED
450,Nikon Nikkor W 135mm F/5.6
451,Nikon AF NIKKOR 35-135mm f3.5-4.5
452,Nikon NIKKOR-S Auto 50mm F1.4 Non-Ai Lens
453,Nikon AF Micro NIKKOR 60mm f/2.8
454,Nikon Reflex Nikkor C 500mm F8
455,Ai Nikkor 105mm f/2.5
456,Nikon Nikkor-H.C 5cm F2 Black belt
457,Nikon Nikkor P 75mm f/2.8
458,Nikon NIKKOR 20mm f4 Ai
459,Nikkor-P Auto 105mm f2.5 Non-Ai
460,Nikon nikkor 50mm f2 non-ai
461,NIKON AF Nikkor 28-85mm f/3.5-4.5 NEW Type
462,Ver.1
463,Nikon AF Nikkor 28mm f/2.8D
464,Nikon Ai Zoom Nikkor 28-45mm F4.5
465,Nikon NIKKOR AF Macro 35-105mm f3.5-4.5
466,AF Nikkor 85mm f/1.8D
467,Nikon PC-Nikkor 35mm F/2.8
468,Nikon Ai NIKKOR ED
469,Nikon AF NIKKOR 300mm f/4 IF ED Telephoto Lens
470,AF DC NIKKOR 105mm f/2 D
471,Nikon NIKKOR SW 75mm f/4.5 S
472,Ai NIKKOR 200mm f4
473,Nikon AF Nikkor 85mm f1.8D
474,nikkor ai 35mm f2.8
475,Nikon Zoom-Nikkor 80-200mm f/4.5 Ai
476,Nikon Nikkor-S 50mm F/1.4 non Ai
477,NIKKOR Non-Ai
478,Nikon AF Nikkor 75-300mm f4.5-5.6
479,Nikon AF Nikkor 75-300mm f/4.5-5.6
480,Nikon AF Zoom Nikkor 70-210mm f/4-5.6
481,New Nikkor 105mm F2.5
482,Nikon Ai-s Nikkor 50mm f/1.4
483,Nikon Nikkor Ai-S 35mm F2
484,Nikon Ai-s Zoom-NIKKOR 80-200mm f/4
